current_version,week_start,total_cells,sb0_pct,sb1_pct,r0_pct,r1_pct,r2a_pct,r2b_pct
256.17,2026-04-27,1,0.0,0.0,0.0,0.0,0.0,100.0
260.1,2026-03-16,22,0.0,100.0,0.0,0.0,0.0,0.0
260.1,2026-03-23,22,0.0,100.0,0.0,0.0,0.0,0.0
260.1,2026-03-30,22,0.0,100.0,0.0,0.0,0.0,0.0
260.1,2026-04-06,22,0.0,100.0,0.0,0.0,0.0,0.0
260.1,2026-04-13,3,0.0,100.0,0.0,0.0,0.0,0.0
260.1,2026-04-20,1,0.0,100.0,0.0,0.0,0.0,0.0
260.1,2026-04-27,1,0.0,100.0,0.0,0.0,0.0,0.0
260.1,2026-05-04,1,0.0,100.0,0.0,0.0,0.0,0.0
260.15,2026-03-16,55,1.8,5.5,0.0,1.8,89.1,1.8
260.15,2026-03-23,31,3.2,9.7,0.0,3.2,80.6,3.2
260.15,2026-03-30,29,0.0,6.9,0.0,3.4,86.2,3.4
260.15,2026-04-06,25,0.0,4.0,0.0,4.0,88.0,4.0
260.15,2026-04-13,2,0.0,50.0,0.0,0.0,0.0,50.0
260.15,2026-04-20,3,0.0,66.7,0.0,0.0,0.0,33.3
260.15,2026-04-27,2,0.0,100.0,0.0,0.0,0.0,0.0
260.15,2026-05-04,2,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-03-16,1,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-03-23,1,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-03-30,1,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-04-06,1,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-04-13,1,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-04-20,1,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-04-27,1,0.0,100.0,0.0,0.0,0.0,0.0
260.5,2026-05-04,1,0.0,100.0,0.0,0.0,0.0,0.0
260.9,2026-03-16,1,100.0,0.0,0.0,0.0,0.0,0.0
260.9,2026-03-23,1,100.0,0.0,0.0,0.0,0.0,0.0
262.11,2026-03-16,13,76.9,23.1,0.0,0.0,0.0,0.0
262.11,2026-03-30,5,0.0,100.0,0.0,0.0,0.0,0.0
262.11,2026-04-06,53,1.9,96.2,0.0,1.9,0.0,0.0
262.11,2026-04-13,71,2.8,95.8,0.0,1.4,0.0,0.0
262.11,2026-04-20,100,0.0,100.0,0.0,0.0,0.0,0.0
262.11,2026-04-27,239,0.4,28.0,3.8,11.3,31.8,24.7
262.11,2026-05-04,446,0.2,15.0,2.0,18.6,50.4,13.7
262.12,2026-03-16,3,33.3,66.7,0.0,0.0,0.0,0.0
262.12,2026-03-23,11,72.7,27.3,0.0,0.0,0.0,0.0
262.12,2026-03-30,3,100.0,0.0,0.0,0.0,0.0,0.0
262.12,2026-04-06,3,100.0,0.0,0.0,0.0,0.0,0.0
262.12,2026-04-13,3,100.0,0.0,0.0,0.0,0.0,0.0
262.12,2026-04-20,3,100.0,0.0,0.0,0.0,0.0,0.0
262.13,2026-03-23,3,66.7,33.3,0.0,0.0,0.0,0.0
262.13,2026-03-30,12,66.7,33.3,0.0,0.0,0.0,0.0
262.13,2026-04-20,34,0.0,97.1,0.0,0.0,2.9,0.0
262.13,2026-04-27,67,0.0,98.5,0.0,0.0,1.5,0.0
262.13,2026-05-04,72,4.2,95.8,0.0,0.0,0.0,0.0
262.14,2026-04-06,9,66.7,33.3,0.0,0.0,0.0,0.0
262.14,2026-04-13,9,66.7,33.3,0.0,0.0,0.0,0.0
262.15,2026-03-16,3,66.7,0.0,0.0,33.3,0.0,0.0
262.15,2026-03-23,3,66.7,0.0,0.0,33.3,0.0,0.0
262.15,2026-04-06,4,75.0,25.0,0.0,0.0,0.0,0.0
262.15,2026-04-13,3,66.7,33.3,0.0,0.0,0.0,0.0
262.15,2026-04-20,12,58.3,41.7,0.0,0.0,0.0,0.0
262.15,2026-04-27,3,66.7,33.3,0.0,0.0,0.0,0.0
262.15,2026-05-04,7,28.6,14.3,0.0,0.0,42.9,14.3
262.16,2026-04-27,12,58.3,41.7,0.0,0.0,0.0,0.0
262.17,2026-03-30,3,66.7,0.0,0.0,33.3,0.0,0.0
262.17,2026-04-06,1,0.0,0.0,0.0,100.0,0.0,0.0
262.17,2026-04-20,3,66.7,33.3,0.0,0.0,0.0,0.0
262.17,2026-05-04,3,33.3,66.7,0.0,0.0,0.0,0.0
262.18,2026-04-06,1,100.0,0.0,0.0,0.0,0.0,0.0
262.18,2026-05-04,9,66.7,33.3,0.0,0.0,0.0,0.0
262.3,2026-03-16,680,0.3,11.3,1.2,15.9,57.2,14.1
262.3,2026-03-23,649,0.2,3.7,1.2,16.5,63.6,14.8
262.3,2026-03-30,616,0.3,3.9,0.0,17.4,63.3,15.1
262.3,2026-04-06,274,0.7,8.4,0.4,5.8,70.8,13.9
262.3,2026-04-13,42,2.4,50.0,0.0,4.8,35.7,7.1
262.3,2026-04-20,24,4.2,83.3,0.0,0.0,0.0,12.5
262.3,2026-04-27,21,4.8,95.2,0.0,0.0,0.0,0.0
262.3,2026-05-04,7,14.3,85.7,0.0,0.0,0.0,0.0
262.7,2026-03-16,69,0.0,100.0,0.0,0.0,0.0,0.0
262.7,2026-03-23,77,1.3,98.7,0.0,0.0,0.0,0.0
262.7,2026-03-30,97,0.0,64.9,8.2,0.0,23.7,3.1
262.7,2026-04-06,384,0.3,0.8,2.1,23.7,57.8,15.4
262.7,2026-04-13,356,0.3,6.5,0.0,12.6,71.1,9.6
262.7,2026-04-20,304,0.3,11.2,0.0,6.3,71.1,11.2
262.7,2026-04-27,243,1.2,17.7,0.0,5.8,68.3,7.0
262.7,2026-05-04,66,0.0,81.8,0.0,0.0,18.2,0.0
262.9,2026-03-16,8,0.0,100.0,0.0,0.0,0.0,0.0
262.9,2026-03-23,63,1.6,96.8,0.0,1.6,0.0,0.0
262.9,2026-03-30,73,2.7,95.9,0.0,1.4,0.0,0.0
262.9,2026-04-06,86,0.0,100.0,0.0,0.0,0.0,0.0
262.9,2026-04-13,370,0.0,18.9,2.4,16.5,45.9,16.2
262.9,2026-04-20,390,0.3,1.3,2.3,23.3,57.4,15.4
262.9,2026-04-27,293,0.3,1.0,0.0,23.5,67.6,7.5
262.9,2026-05-04,270,0.4,1.1,0.0,10.0,74.4,14.1
264.1,2026-04-13,3,66.7,0.0,0.0,33.3,0.0,0.0
264.2,2026-04-20,3,66.7,0.0,0.0,33.3,0.0,0.0
264.2,2026-04-27,1,0.0,0.0,0.0,100.0,0.0,0.0
264.3,2026-04-27,2,100.0,0.0,0.0,0.0,0.0,0.0
264.3,2026-05-04,1,100.0,0.0,0.0,0.0,0.0,0.0
264.4,2026-05-04,2,50.0,0.0,0.0,50.0,0.0,0.0
